Node ID,Von Mises Stress,Stress X,Stress Y,Displacement X,Displacement Y,Shear
17634,68336365.6898,73098730.7231,11346844.8321,0.000242740616202,1.6565695405e-05,3006853.81889
17635,69444074.2505,74069611.2315,10852185.4877,0.00024174207449,1.61363705993e-05,2721480.64772
17636,65509377.5991,62160734.8124,-6221243.93781,0.000310659557581,-3.74743714929e-05,836785.566062
17637,65987634.6454,62809187.2533,-5878369.33136,0.000308379590511,-3.80529128015e-05,1366637.79616
17638,49165523.8468,49419424.3749,596367.249886,0.000435388892889,-1.11920461059e-05,1167004.98263
17639,53146636.9730,40509864.8071,-9652642.32953,0.000190358579159,-6.40697637573e-06,-15267777.9992
17640,54413071.5459,41392505.3279,-10233108.8384,0.000191633686423,-6.10136147588e-06,-15482811.2125
17641,9006448.08200,1697885.55304,-7992032.44845,0.000191823616624,-2.61242743582e-05,-513534.358392
17642,8092549.61154,2065782.56687,-6857022.56362,0.000190621644258,1.66620084201e-07,-112584.029635
17643,45772607.6202,46326731.3639,1459880.79906,0.000394047856331,-2.64059063047e-05,-2195891.85715
17644,46410192.6568,46902251.8794,1359851.23118,0.000396070897579,-2.74702832103e-05,-2310529.56978
17645,107595287.704,109417090.098,14073598.6233,0.000243233725429,-4.34149131179e-05,17762060.3244
17646,107965702.949,110329808.553,14135052.7604,0.000244356811047,-4.37039360404e-05,16769459.4065
17647,52398302.3497,51989061.3556,-786155.392726,0.000180224314332,2.992054075e-05,640329.927206
17648,52755340.5252,52243323.6440,-991671.487689,0.000179250970483,2.82855872065e-05,568466.280897
17649,59470099.6870,58134286.8805,-2246769.40838,0.000315913498402,-4.52996082604e-05,2673021.73376
17650,42556367.6488,27229704.8569,-9275914.51009,0.000186420813203,-8.55233054608e-06,-15609447.9561
17651,43608666.9973,27617055.4161,-9948921.52150,0.0001872959584,-8.29417724162e-06,-15971569.8560
17652,48047846.2662,36979049.0468,-7829346.92701,0.000188239783049,-1.59059111029e-05,14027651.0874
17653,49505245.0463,38022789.9551,-8451797.08799,0.000189485967159,-1.630176045e-05,14285691.5792
17654,34930332.9432,-2138937.01633,-33621844.4506,0.000184009209275,-5.11614792049e-06,7235092.52071
